id,Region/Country/Area,Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),Dummy Description
0,Afghanistan,43.1,3.8,63.3,41.13,20.36,20.77,102.0,Afghanistan is a country in the UN populations dataset.
1,Albania,16.1,23.5,103.7,2.84,1.42,1.42,99.5,Albania is a country in the UN populations dataset.
2,Algeria,30.6,9.7,18.9,44.90,22.04,22.86,103.7,Algeria is a country in the UN populations dataset.
3,American Samoa,27.1,12.1,221.4,0.04,0.02,0.02,97.6,American Samoa is a country in the UN populations dataset.
4,Andorra,12.8,21.6,169.8,0.08,0.04,0.04,104.5,Andorra is a country in the UN populations dataset.
5,Angola,45.0,4.3,28.5,35.59,18.0,17.59,97.7,Angola is a country in the UN populations dataset.
6,Anguilla,17.3,16.0,180.2,0.02,0.01,0.01,95.8,Anguilla is a country in the UN populations dataset.
7,Antigua and Barbuda,18.5,16.1,213.1,0.09,0.05,0.04,91.4,Antigua and Barbuda is a country in the UN populations dataset.
8,Argentina,23.1,16.2,16.3,45.51,22.98,22.53,98.0,Argentina is a country in the UN populations dataset.
9,Armenia,20.5,20.3,97.7,2.78,1.53,1.25,81.7,Armenia is a country in the UN populations dataset.
10,Aruba,16.2,23.9,591.4,0.11,0.06,0.05,89.2,Aruba is a country in the UN populations dataset.
11,Australia,18.2,22.6,3.4,26.18,13.18,13.0,98.6,Australia is a country in the UN populations dataset.
12,Austria,14.4,26.7,108.3,8.94,4.54,4.4,97.0,Austria is a country in the UN populations dataset.
13,Azerbaijan,23.5,12.5,125.3,10.36,5.25,5.11,97.4,Azerbaijan is a country in the UN populations dataset.
14,Bahamas,19.1,13.9,76.5,0.41,0.21,0.2,91.4,Bahamas is a country in the UN populations dataset.
15,Bahrain,20.2,6.9,1880.2,1.47,0.56,0.91,162.9,Bahrain is a country in the UN populations dataset.
16,Bangladesh,26.0,9.3,1315.1,171.19,86.33,84.86,98.3,Bangladesh is a country in the UN populations dataset.
17,Barbados,16.9,23.1,655.0,0.28,0.15,0.14,92.2,Barbados is a country in the UN populations dataset.
18,Belarus,16.8,24.5,47.0,9.54,5.14,4.39,85.3,Belarus is a country in the UN populations dataset.
19,Belgium,16.5,26.2,385.0,11.66,5.9,5.76,97.7,Belgium is a country in the UN populations dataset.
20,Belize,27.7,8.0,17.8,0.41,0.2,0.2,101.1,Belize is a country in the UN populations dataset.
21,Benin,42.4,4.9,118.4,13.35,6.66,6.69,100.4,Benin is a country in the UN populations dataset.
22,Bermuda,14.7,28.6,1188.6,0.06,0.03,0.03,93.0,Bermuda is a country in the UN populations dataset.
23,Bhutan,22.1,9.3,20.4,0.78,0.37,0.41,112.3,Bhutan is a country in the UN populations dataset.
24,Bolivia (Plurin. State of),30.8,7.6,11.3,12.22,6.1,6.13,100.5,Bolivia (Plurin. State of) is a country in the UN populations dataset.
25,"Bonaire, St. Eustatius & Saba",16.8,21.1,82.4,0.03,0.01,0.01,104.8,"Bonaire, St. Eustatius & Saba is a country in the UN populations dataset."
26,Bosnia and Herzegovina,14.9,25.8,63.2,3.23,1.64,1.59,97.0,Bosnia and Herzegovina is a country in the UN populations dataset.
27,Botswana,32.6,5.9,4.6,2.63,1.33,1.3,97.5,Botswana is a country in the UN populations dataset.
28,Brazil,20.3,14.6,25.8,215.31,109.58,105.73,96.5,Brazil is a country in the UN populations dataset.
29,British Virgin Islands,14.5,16.1,203.3,0.03,0.02,0.02,92.7,British Virgin Islands is a country in the UN populations dataset.
30,Brunei Darussalam,22.1,10.4,77.9,0.45,0.22,0.23,107.1,Brunei Darussalam is a country in the UN populations dataset.
31,Bulgaria,14.0,29.2,62.6,6.78,3.49,3.29,94.1,Bulgaria is a country in the UN populations dataset.
32,Burkina Faso,43.7,4.1,82.9,22.67,11.37,11.3,99.3,Burkina Faso is a country in the UN populations dataset.
33,Burundi,45.8,3.8,496.7,12.89,6.49,6.4,98.6,Burundi is a country in the UN populations dataset.
34,Cabo Verde,26.2,8.7,147.2,0.59,0.3,0.29,98.9,Cabo Verde is a country in the UN populations dataset.
35,Cambodia,28.9,9.7,92.6,16.77,8.47,8.3,98.0,Cambodia is a country in the UN populations dataset.
36,Cameroon,42.2,4.2,59.9,27.91,13.99,13.92,99.5,Cameroon is a country in the UN populations dataset.
37,Canada,15.6,25.9,4.2,38.45,19.34,19.11,98.8,Canada is a country in the UN populations dataset.
38,Cayman Islands,16.8,13.1,285.1,0.07,0.03,0.03,101.9,Cayman Islands is a country in the UN populations dataset.
39,Central African Republic,48.1,4.1,9.0,5.58,2.79,2.79,99.9,Central African Republic is a country in the UN populations dataset.
40,Chad,47.5,3.4,14.1,17.72,8.83,8.9,100.8,Chad is a country in the UN populations dataset.
41,Chile,18.3,18.3,26.0,19.60,9.87,9.73,98.5,Chile is a country in the UN populations dataset.
42,China,17.2,18.6,148.5,1425.89,698.24,727.64,104.2,China is a country in the UN populations dataset.
43,"China, Hong Kong SAR",12.0,28.7,6814.3,7.49,4.04,3.45,85.4,"China, Hong Kong SAR is a country in the UN populations dataset."
44,"China, Macao SAR",14.8,19.5,21724.0,0.70,0.37,0.33,88.4,"China, Macao SAR is a country in the UN populations dataset."
45,Colombia,21.3,13.5,46.2,51.87,26.3,25.58,97.3,Colombia is a country in the UN populations dataset.
46,Comoros,38.0,6.5,449.6,0.84,0.42,0.42,100.9,Comoros is a country in the UN populations dataset.
47,Congo,41.1,4.6,17.5,5.97,2.99,2.98,99.8,Congo is a country in the UN populations dataset.
48,Cook Islands,23.6,17.5,70.9,0.02,0.01,0.01,90.8,Cook Islands is a country in the UN populations dataset.
49,Costa Rica,20.2,15.8,101.5,5.18,2.59,2.59,100.0,Costa Rica is a country in the UN populations dataset.
50,Croatia,14.1,29.6,72.1,4.03,2.07,1.96,95.0,Croatia is a country in the UN populations dataset.
51,Cuba,15.7,22.0,105.0,11.21,5.65,5.56,98.5,Cuba is a country in the UN populations dataset.
52,Curaçao,17.2,21.4,450.9,0.19,0.1,0.09,92.1,Curaçao is a country in the UN populations dataset.
53,Cyprus,15.9,20.4,135.4,1.25,0.62,0.63,100.3,Cyprus is a country in the UN populations dataset.
54,Czechia,16.0,26.3,135.9,10.49,5.32,5.17,97.1,Czechia is a country in the UN populations dataset.
55,Côte d’Ivoire,41.5,3.8,88.6,28.16,13.95,14.22,101.9,Côte d’Ivoire is a country in the UN populations dataset.
56,Dem. People's Rep. Korea,18.9,17.3,216.5,26.07,13.16,12.91,98.0,Dem. People's Rep. Korea is a country in the UN populations dataset.
57,Dem. Rep. of the Congo,46.5,4.6,43.7,99.01,49.89,49.12,98.4,Dem. Rep. of the Congo is a country in the UN populations dataset.
