QUERY,DOC_ID
0-dimensional biomaterials lack inductive properties.,4241
1 in 5 million in UK have abnormal PrP positivity.,2232
1-1% of colorectal cancer patients are diagnosed with regional or distant metastases.,3382
10% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.,486
32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,4913
4-PBA treatment decreases endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,4288
4-PBA treatment raises endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,4288
40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,4333
5'-nucleotidase metabolizes 6MP.,120
50% of patients exposed to radiation have activated markers of mesenchymal stem cells.,3276
53% of perinatal mortality is due to low birth weight.,291
61% of colorectal cancer patients are diagnosed with regional or distant metastases.,3382
7-day-old adult Caenorhabditis elegans exhibit approximately 5% of the learning capacity seen in 1-day old adults.,577
7-day-old adult Caenorhabditis elegans exhibit approximately 75% of the learning capacity seen in 1-day old adults.,577
70% of burn patients are admitted for hospitalization and further treatment after appearing at hospital emergency wards or outpatient clinics.,4801
76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,1197
90% of patients with melanoma and an objective response to PD-1 blockade will experience a progression in their melanoma.,616
90% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.,486
A 100g dose of chloroquine chemoprophylactic regimen results in retinal toxicity after 1 year of weekly intake.,4275
A 100g dose of chloroquine chemoprophylactic regimen results in retinal toxicity after 5-6 years of weekly intake.,4275
A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,2081
A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,3580
A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.,2046
A deficiency of folate increases blood levels of homocysteine.,1950
A deficiency of vitamin B12 decreases blood levels of homocysteine.,978
A deficiency of vitamin B6 decreases blood levels of homocysteine.,978
A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,2204
A diminished ovarian reserve is a very strong indicator of infertility  even in an a priori non-infertile population.,2204
