QUERY,DOC_ID
0-dimensional biomaterials show inductive properties.,4241
1 000 genomes project enables mapping of genetic sequence variation consisting of rare variants with larger penetrance effects than common variants.,2425
1/2000 in UK have abnormal PrP positivity.,2232
5% of perinatal mortality is due to low birth weight.,291
A deficiency of vitamin B12 increases blood levels of homocysteine.,978:1950
A high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha (+)- thalassemia trait subjects.,2813
A total of 1 000 people in the UK are asymptomatic carriers of vCJD infection.,2232
ADAR1 binds to Dicer to cleave pre-miRNA.,1100
AIRE is expressed in some skin tumors.,2064
ALDH1 expression is associated with better breast cancer outcomes.,4967
ALDH1 expression is associated with poorer prognosis in breast cancer.,4967
AMP-activated protein kinase (AMPK) activation increases inflammation-related fibrosis in the lungs.,5013
APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation causing GABA neuron degeneration.,917
APOE4 expression in iPSC-derived neurons increases AlphaBeta production and tau phosphorylation  delaying GABA neuron degeneration.,917
Activation of PPM1D suppresses p53 function.,1102:816
Activator-inhibitor pairs are provided dorsally by Admpchordin.,1115
Active H. pylori urease has a polymeric structure that compromises two subunits  UreA and UreB.,786
Albendazole is used to treat lymphatic filariasis.,213
Alizarin forms hydrogen bonds with residues involved in PGAM1 substrate binding.,2877
All hematopoietic stem cells segregate their chromosomes randomly.,782
Angiotensin converting enzyme inhibitors are associated with increased risk for functional renal insufficiency.,1137
Anthrax spores can be disposed of easily after they are dispersed.,4356
Antibiotic induced alterations in the gut microbiome reduce resistance against Clostridium difficile,1175
Antiretroviral therapy reduces rates of tuberculosis across a broad range of CD4 strata.,936
Arginine 90 in p150n is important for interaction with EB1.,3215
Arterioles have a larger lumen diameter than venules.,1475
Articles published in open access format are less likely to be cited than traditional journals.,4011
Articles published in open access format are more likely to be cited than traditional journals.,4011
Aspirin inhibits the production of PGE2.,1432
Assembly of invadopodia is triggered by focal generation of phosphatidylinositol-3 4-biphosphate and the activation of the nonreceptor tyrosine kinase Src.,4620:1279:2786:2609:2071
Asymptomatic visual impairment screening in elderly populations does not lead to improved vision.,3853
Auditory entrainment is strengthened when people see congruent visual and auditory information.,1275:2381
Autologous transplantation of mesenchymal stem cells causes a higher rate of opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,1807
Autologous transplantation of mesenchymal stem cells causes fewer opportunistic infections than induction therapy with anti-interleukin-2 receptor antibodies.,1807
Autologous transplantation of mesenchymal stem cells has lower rates of rejection than induction therapy with anti-interleukin-2 receptor antibodies.,1807
Autophagy declines in aged organisms.,196
Bariatric surgery has a positive impact on mental health.,2883
Basophils counteract disease development in patients with systemic lupus erythematosus (SLE).,2081
Birth-weight is positively associated with breast cancer.,2613:3955:3464:2733
Blocking the interaction between TDP-43 and respiratory complex I proteins ND3 and ND6 leads to increased TDP-43-induced neuronal loss.,2683
Bone marrow cells contribute to adult macrophage compartments.,2103
Breast cancer development is determined exclusively by genetic factors.,2832
CCL19 is absent within dLNs.,406
CHEK2 is not associated with breast cancer.,2209
CR is associated with higher methylation age.,3270
CRP is not predictive of postoperative mortality following Coronary Artery Bypass Graft (CABG) surgery.,2223
CX3CR1 on the Th2 cells impairs T cell survival,3172
CX3CR1 on the Th2 cells promotes T cell survival,3172
CX3CR1 on the Th2 cells promotes airway inflammation.,3172
CX3CR1 on the Th2 cells suppresses airway inflammation.,3172
Carriers of the alcohol aldehyde dehydrogenase deficiency mutation drink less that non-carries.,551
Cataract and trachoma are the primary cause of blindness in Southern Sudan.,1795
Cell autonomous sex determination in somatic cells does not occur in Galliformes.,788
Cell autonomous sex determination in somatic cells occurs in Passeriformes.,788
Cells lacking clpC have a defect in sporulation efficiency in Bacillus subtilis.,950
Cells undergoing methionine restriction may activate miRNAs.,416
Cellular aging closely links to an older appearance.,2320
Chenodeosycholic acid treatment increases whole-body energy expenditure.,281
Chenodeosycholic acid treatment reduces whole-body energy expenditure.,281
Chronic aerobic exercise alters endothelial function  improving vasodilating mechanisms mediated by NO.,200:1828
Cold exposure increases BAT recruitment.,175
Cold exposure reduces BAT recruitment.,175
