QUERY,id
2 to 3.4) suggesting these elasmobranchs may maintain a consistently low stomach ph,0
xrcc1 arg399gln gene polymorphism and breast cancer risk: a meta-analysis based on case-control studies.,1
 group 2 patients had much poorer survival outcome compared to group 1 (56% vs. 85,2
 fluorescent anisotropy shows that phosphorylation of camstatin inhibits its binding to calmodulin. nmr solution structures indicate that both camstatin and phospho-camstatin exist in similar dynamic turn-like conformations,3
defining the dna binding site recognized by the fission yeast zn<sub>2</sub>cys<sub>6</sub> transcription factor pho7 and its role in phosphate homeostasis.,4
"sum frequency generation (sfg) imaging is used to monitor, in situ, the reaction of cyanide ions with gold surface. spatial and chemical variations across the surface are observed as a function of time",5
ubx dynamically regulates dpp signaling by repressing dad expression during copper cell regeneration in the adult drosophila midgut.,6
 the regulation of barrier function by thymol and lps may be at post-transcriptional or post-translational levels.,7
" we conclude that slap is a negative regulator of src during mitogenesis involving both the sh2 and the c terminus domains in a noncompetitive manner, but it does not regulate all src function due to specific sh3 binding substrates.",8
" an increase in circumferential subendocardial systolic strain (-30 ± 5 vs -27 ± 3%) and both systolic and diastolic subendocardial strain rate was seen in the g+lvh- group. peak rotation angles were higher at the base and apex, with an increase in total twist (9",9
"how underlying mechanisms bias evolution toward predictable outcomes remains an area of active debate. in this study, we leveraged phenotypic plasticity and parallel adaptation across independent lineages of trinidadian guppies (poecilia reticulata) to assess the predictability of gene expression evolution during parallel adaptation",10
"the german collaborative glomerulonephritis therapy study, which celebrated its 10th anniversary in 1996, has collected data on more than 1,000 patients with biopsy-proven glomerulonephritis. 929 patients could be evaluated and 500 were treated according to at least one of various protocols developed for a randomized controlled trial",11
the rate of guideline concordance with antidepressant treatment for persons with depression is low. the problem may be even more pronounced for patients with depression and other multiple chronic conditions (mcc),12
" patients with new‑onset diarrhea, abdominal pain, nausea, and vomiting without any other evident etiological factors should be tested for sars‑cov‑2 infection. gastroenterologists and members of other medical specialties should also remember that the current epidemiological situation has changed diagnostic and therapeutic algorithms in the management of several gastrointestinal and liver disorders",13
" however, their roles in wound healing and tissue repair are unclear. βγ-crystallin fused aerolysin-like protein (α-subunit) and trefoil factor (β-subunit) complex (βγ-cat) is a complex of a bacterial pore-forming toxin aerolysin-like protein and trefoil factor identified in the frog bombina maxima",14
some physiopharmacologic properties of rattlesnake venom.,15
control of small ruminant brucellosis by use of brucella melitensis rev.1 vaccine: laboratory aspects and field observations.,16
" because of the important effects of tunnel construction on soil processes, this unique biological feature of subterranean animals has implications for basic physical processes, such as soil erosion. we found that the rate of soil flux generated by pocket gopher activity was invariant to hillslope",17
" the abnormalities included frequent interruptions of the periods of concordant association of 2f-parameters, reflected by a high proportion of no-coincidence, and spontaneous awakenings (state 4f), always following stable periods of state 1f. the latter phenomenon was not found thus far by us or others, neither in normal nor in complicated pregnancies",18
" in addition, the doses of meth examined have often been low. here, we investigated the effects of intoxication due to administration of 20 mg/kg meth on neuronal activity",19
 [35s]gtp gamma s-binding to the rhoa gene product is inhibited by pretreatment with n-ethylmaleimide. the rhoa gene product hydrolyzes gtp to liberate pi with a turnover number of about 0,20
v. infusion of 0,21
[agranulocytosis after antiarrhythmic therapy with ajmalin (author's transl)].,22
 comparison between animal and plant transcription factors (tfs) reveal some important differences. plant transcriptional networks function at a lower hierarchy compared to animal regulatory networks,23
" with the primary goal of reducing nonspecific protein adsorption, the effect of using comb-type structures of poly(ethylene glycol) (1 kda, peg) units conjugated to pll (4.2 and 24 kda) on bsa-np properties, apparent sirna release rate, cell viability, and cell uptake were evaluated",24
" the likelihood of their engagement in the polymerization process (initiators), however, seems dependent on their sterical availability. the reactivity of nucleophilic functional groups should always be considered and bioactives examined for their potential to covalently interfere with alkylcyanoacrylate monomers, especially when designing paca delivery systems for protein and peptide biopharmaceuticals",25
"a series of amino-substituted triazines were developed and examined for pi3kβ inhibition and anti-platelet function. structural adaptations of a morpholine ring of the prototype pan-pi3k inhibitor zstk474 yielded pi3kβ selective compounds, where the selectivity largely derives from an interaction with the non-conserved asp862 residue, as shown by site directed mutagenesis",26
bidirectional temperature-sensing by a single  thermosensory neuron in c. elegans.,27
" key components involved in the acquisition of iron (as ferric ion) and its initial transport into the mycobacterial cell are extracellular iron binding agents (siderophores) which, in pathogenic mycobacteria, are the carboxymycobactins and, in saprophytic mycobacteria, are the exochelins. in both cases, iron may be transferred to an intra-envelope, short-term storage molecule, mycobactin",28
immunological assay after vaccination of goats with brucella melitensis rev. i and brucella abortus 45/20 vaccines at saudi arabia.,29
 binding of netropsin and distamycin also results in an increase of the internucleosomal distance which can be estimated to correspond to about 0.2 nm/mol,30
 forty-five courses of intravenous colistin treatment administered to 45 children were evaluated in the study period. fourteen patients (31%) were infected by pseudomonas aeruginosa spp and 20 patients (44,31
" an effective strategy for studying complicated cellular processes, such as autophagy, involves the construction and analysis of mathematical or computational models. when developed and refined from experimental knowledge, these models can be used to interrogate signaling pathways, formulate novel hypotheses about systems, and make predictions about cell signaling changes induced by specific interventions",32
"this study investigates the relationship between concentrations of on- and off-premises alcohol outlets and rates of child abuse and neglect. additionally, the study seeks to locate protective features of a neighborhood's built environment by investigating the potentially moderating role that access to substance abuse treatment and prevention services plays in the relationship between alcohol outlet density and child maltreatment",33
" japonicus is widespread in at least two-thirds of the western half of hungary; (b) the species spreads quickly in ecological corridors formed by mosaics of rural areas, detached houses, gardens and small forest patches; (c) ae. j",34
58/0.17),35
thy1-expressing neurons in the basolateral amygdala may mediate fear inhibition.,36
pulmonary infection of cystic fibrosis mice with staphylococcus aureus requires expression of α-toxin.,37
 numerous studies have demonstrated that ltxa may play a critical role in the pathogenicity of a. actinomycetemcomitans since hyper-leukotoxic strains have been associated with severe disease,38
"the hospital-acquired influenza (hai) were usually contributed to severe outcomes among the inpatients. here, we performed a meta-analysis to summarize and quantify the epidemiological and clinical characteristics of hai",39
stimulation of phospholipases a2 by transglutaminases.,40
