id,para_id,label,title,abstract
0,0,15564000,comprehensive health status assessment of centenarians: results from the 1999 large health survey of veteran enrollees.,"information on the health status of centenarians provides a means for understanding the health care needs of this growing population. therefore, we examined the health status of a national cohort of centenarian veteran enrollees"
1,1,15564000,comprehensive health status assessment of centenarians: results from the 1999 large health survey of veteran enrollees.,
2,0,15564001,aggressive behavior of classical kaposi's sarcoma and coexistence with angiosarcoma.,"an 82-year-old caucasian man presented with initially asymptomatic livid red plaques on the plantar surface of the feet that become confluent and evolved into invasively growing nodules accompanied by massive edema. histology allowed a diagnosis of the classical form of kaposi's sarcoma; the serology test result for hiv was negative, whereas the associated human herpes virus type 8 was detected by polymerase chain reaction on the skin sample"
3,1,15564001,aggressive behavior of classical kaposi's sarcoma and coexistence with angiosarcoma.," over the subsequent 6 months, skin lesions become vegetative and partially necrotic, and extended to the hands and eyelids. chemotherapy with vinblastine appeared to stabilize the cutaneous disease, but the patient developed a massive gastrointestinal hemorrhage secondary to dissemination to the stomach"
4,2,15564001,aggressive behavior of classical kaposi's sarcoma and coexistence with angiosarcoma.," twelve months after the onset of the disease, vegetative and easily bleeding lesions progressively occluded the mouth of the patient: histological features were consistent with a low-grade angiosarcoma distinct from that of kaposi's sarcoma. the patient could not chew and swallow anymore; he was put on an artificial nutrition but died shortly thereafter"
5,3,15564001,aggressive behavior of classical kaposi's sarcoma and coexistence with angiosarcoma.," this case illustrates that, even in its classical form, kaposi's sarcoma may be a malignant, rapidly progressing tumor."
6,0,15564002,feasibility and reliability of four pain self-assessment scales and correlation with an observational rating scale in hospitalized elderly demented patients.,"acute and chronic pain is common in hospitalized demented elderly people, yet there are limited data about the performance of pain assessment tools in this population. the aim of this study was to evaluate the feasibility and reliability of four pain self-assessment scales in this population and compare their performance to an observational pain rating scale"
7,1,15564002,feasibility and reliability of four pain self-assessment scales and correlation with an observational rating scale in hospitalized elderly demented patients.,
8,0,15564003,statistical analysis of efficacy in falls prevention trials.,many different and sometimes inappropriate statistical techniques have been used to analyze the results of randomized controlled trials of falls prevention programs for elderly people. this makes comparison of the efficacy of particular interventions difficult
9,1,15564003,statistical analysis of efficacy in falls prevention trials.,
10,0,15564004,hospital organization: general internal medical and geriatrics wards.,nan
11,0,15564005,body weight changes in elderly psychogeriatric nursing home residents.,this study was undertaken to identify predictors of body weight change in nursing home patients with possible to severe dementia.
12,0,15564006,disability counts--or does it?,nan
13,0,15564007,what can we learn from international comparisons of social inequalities in road traffic injury mortality?,nan
14,0,15564008,the validity of a four week self-recall of sports injuries.,"the ability of sports injury studies to provide reliable incidence estimates depends on accurate injury data. one of the most commonly used methods of collecting injury data is through self-report, but the validity of such information is largely unknown"
15,1,15564008,the validity of a four week self-recall of sports injuries.," this study validated a four week self-report sports injury recall against a range of external sources including hospital records, health practitioner records, and third parties. cases were drawn from the larger, western australian sports injury study (wasis)"
16,2,15564008,the validity of a four week self-recall of sports injuries.," this study demonstrates acceptable to good levels of agreement between self-report and more objective data in relation to details such as the nature and body part injured, and the level of injury treatment sought (kappa = 0.48 to 0"
17,3,15564008,the validity of a four week self-recall of sports injuries.,"78). however, self-reported injury severity did not agree with the injury severity score classification of severity"
18,4,15564008,the validity of a four week self-recall of sports injuries.,
19,0,15564009,education level inequalities and transportation injury mortality in the middle aged and elderly in european settings.,"to study the differential distribution of transportation injury mortality by educational level in nine european settings, among people older than 30 years, during the 1990s."
20,0,15564010,group interventions for the prevention of injuries in young children: a systematic review.,this systematic review examined group based injury prevention interventions that targeted young children to determine the effectiveness of such strategies in enhancing children's safety behaviors.
21,0,15564011,it might work in oklahoma but will it work in oakhampton? context and implementation in the effectiveness literature on domestic smoke detectors.,"to explore data on factors affecting implementation processes in papers contributing to a cochrane systematic review (sr) of smoke alarm interventions, supplemented by further papers not included in the review."
22,0,15564012,road safety campaigns: do they work?,nan
23,0,15564013,traffic calming policy can reduce inequalities in child pedestrian injuries: database study.,to determine whether area wide traffic calming distribution reflects known inequalities in child pedestrian injury rates. to determine whether traffic calming is associated with changes in childhood pedestrian injury rates
24,1,15564013,traffic calming policy can reduce inequalities in child pedestrian injuries: database study.,
25,0,15564014,non-fatal injuries among adults with activity limitations and participation restrictions.,to investigate non-fatal unintentional injuries among adults with activity/participation limitations.
26,0,15564015,effectiveness of an outside-the-boot ankle brace in reducing parachuting related ankle injuries.,to examine the efficacy of an outside-the-boot parachute ankle brace (pab) in reducing risk of ankle injury to army paratrooper trainees and to identify inadvertent risks associated with pab use.
27,0,15564016,cost effectiveness of a dealer's intervention in retrofitting rollover protective structures.,to evaluate the cost effectiveness of a 4.5 year education campaign that promoted farmers' adoption of rollover protective structures (rops) to prevent tractor overturn injuries
28,1,15564016,cost effectiveness of a dealer's intervention in retrofitting rollover protective structures.,
29,0,15564017,welding related occupational eye injuries: a narrative analysis.,"to determine the activities and circumstances proximal to a welding related occupational eye injury, a hybrid narrative coding approach derived from two well developed classification systems was developed to categorize and describe the activity, initiating process, mechanism of injury, object and/or substance, and the use of protective eyewear from the narrative text data reported for each injury."
30,0,15564018,a population based study of reporting patterns and characteristics of men who abuse their female partners.,this study estimates the prevalence of male abusive behavior reported by men and their female partners and identifies characteristics of abusive men.
31,0,15564019,concordance between childhood injury diagnoses from two sources: an injury surveillance system and a physician billing claims database.,"(1) to determine the concordance between injury diagnoses (head injury (hi), probable hi, or orthopedic injury) for children visiting an emergency department for an injury using two"
32,0,15564020,"getting past the ""f"" word in federally funded public health research.",nan
33,0,15564021,crystal structure of raw pure mysore silk fibre based on (ala-gly)2-ser-gly peptide sequence using linked-atom-least-squares method.,we have carried out crystal structure analysis of raw pure mysore silk fibers belonging to bombyx mori on the basis of model parameters of marsh et al using linked-atom-least-squares technique. the intensity of all the reflections were computed employing ccp13 software
34,1,15564021,crystal structure of raw pure mysore silk fibre based on (ala-gly)2-ser-gly peptide sequence using linked-atom-least-squares method., we observe that the molecular modification is essentially same as b-pleated structure with antipolar-antiparallel arrangements formed by hydrogen bonds. the essential differences observed in the structure are highlighted and discussed
35,2,15564021,crystal structure of raw pure mysore silk fibre based on (ala-gly)2-ser-gly peptide sequence using linked-atom-least-squares method.,
36,0,15564022,shock wave treatment in medicine.,extracorporeal shock wave therapy in orthopedics and traumatology is still a young therapy method. since the last few years the development of shock wave therapy has progressed rapidly
37,1,15564022,shock wave treatment in medicine., shock waves have changed the treatment of urolithiasis substantially. today shock waves are the first choice to treat kidney and urethral stones
